# $1 = time (seconds since 2000-01-01T00:00Z)
# $2 = observer altitude [km]
# $3 = observer longitude [deg]
# $4 = observer latitude [deg]
# $5 = view point altitude [km]
# $6 = view point longitude [deg]
# $7 = view point latitude [deg]
# $8 = tangent point altitude [km]
# $9 = tangent point longitude [deg]
# $10 = tangent point latitude [deg]
# $11 = channel 792: radiance [W/(m^2 sr cm^-1)]
# $12 = channel 792: transmittance

0.00 800 0 0 0 0 0 0 -3.22923e-11 -3.22923e-11 0.157125 0.0875148
0.00 800 0 0 0 0 1 -1.0541e-09 -3.30862e-11 0.999997 0.156673 0.084991
0.00 800 0 0 0 0 2 -1.9345e-09 -3.54933e-11 1.99999 0.155187 0.0778903
0.00 800 0 0 0 0 3 -9.59244e-09 -3.95932e-11 2.99999 0.153208 0.0677031
0.00 800 0 0 0 0 4 -5.43669e-08 -4.55212e-11 3.99998 0.150572 0.0559281
0.00 800 0 0 0 0 5 -1.97867e-07 -5.34727e-11 4.99997 0.147564 0.0442069
0.00 800 0 0 0 0 6 -3.84088e-07 -6.37424e-11 5.99996 0.144674 0.0334231
0.00 800 0 0 0 0 7 -8.01382e-07 -7.67007e-11 6.99994 0.141209 0.0242305
0.00 800 0 0 0 0 8 -1.52788e-06 -9.28502e-11 7.99992 0.13803 0.0168412
0.00 800 0 0 0 0 9 -2.65836e-06 -1.12855e-10 8.99989 0.135417 0.0112374
0.00 800 0 0 0 0 10 -4.54931e-06 -1.3759e-10 9.99984 0.132998 0.00715934
